Source,Target,Type,Id,Label,Weight
11,5,Directed,1001899,,2
11,84,Directed,1001900,,1
11,31,Directed,1001901,,1
11,M,Directed,1001904,,1
11,4,Directed,1001913,,1
11,85,Directed,1001914,,1
11,65,Directed,1001915,,1
12,86,Directed,1001928,,1
12,23,Directed,1001929,,1
12,NA,Directed,1001930,,21
12,F,Directed,1001932,,8
12,TRUE,Directed,1001933,,14
12,FALSE,Directed,1001934,,46
12,1,Directed,1001939,,13
12,5,Directed,1001941,,5
12,87,Directed,1001942,,1
12,22,Directed,1001943,,1
12,M,Directed,1001946,,2
12,88,Directed,1001956,,1
12,39,Directed,1001957,,1
12,2,Directed,1001968,,4
12,4,Directed,1001969,,4
12,89,Directed,1001970,,1
12,35,Directed,1001971,,1
12,3,Directed,1001981,,3
12,90,Directed,1001984,,1
12,69,Directed,1001985,,1
12,91,Directed,1001998,,1
12,45,Directed,1001999,,1
12,92,Directed,1002012,,1
12,64,Directed,1002013,,1
12,93,Directed,1002026,,1
12,56,Directed,1002027,,1
12,94,Directed,1002040,,1
12,40,Directed,1002041,,1
12,95,Directed,1002054,,1
12,52,Directed,1002055,,1
13,96,Directed,1002068,,1
13,30,Directed,1002069,,1
13,NA,Directed,1002070,,12
13,F,Directed,1002072,,4
13,TRUE,Directed,1002073,,6
13,FALSE,Directed,1002074,,30
13,1,Directed,1002079,,10
13,5,Directed,1002081,,3
13,97,Directed,1002082,,1
13,37,Directed,1002083,,1
13,M,Directed,1002086,,2
13,98,Directed,1002096,,1
13,60,Directed,1002097,,2
13,99,Directed,1002110,,1
13,4,Directed,1002123,,4
13,100,Directed,1002124,,1
13,89,Directed,1002125,,1
13,2,Directed,1002135,,1
13,101,Directed,1002138,,1
13,72,Directed,1002139,,1
14,102,Directed,1002152,,1
14,1,Directed,1002153,,8
14,NA,Directed,1002154,,12
14,M,Directed,1002156,,4
14,TRUE,Directed,1002157,,6
14,FALSE,Directed,1002158,,30
14,3,Directed,1002163,,2
14,4,Directed,1002165,,2
14,103,Directed,1002166,,1
14,5,Directed,1002167,,4
14,104,Directed,1002180,,1
14,6,Directed,1002181,,1
14,2,Directed,1002192,,4
14,105,Directed,1002194,,1
14,36,Directed,1002195,,1
14,106,Directed,1002208,,1
14,35,Directed,1002209,,1
14,F,Directed,1002212,,2
14,107,Directed,1002222,,1
14,37,Directed,1002223,,1
15,108,Directed,1002236,,1
15,2,Directed,1002237,,6
15,NA,Directed,1002238,,10
15,M,Directed,1002240,,3
15,TRUE,Directed,1002241,,6
15,FALSE,Directed,1002242,,30
15,1,Directed,1002247,,9
15,5,Directed,1002249,,3
15,109,Directed,1002250,,1
15,4,Directed,1002251,,2
15,110,Directed,1002264,,1
15,34,Directed,1002265,,2
15,F,Directed,1002268,,3
15,111,Directed,1002278,,1
15,112,Directed,1002292,,1
15,20,Directed,1002294,,2
15,100,Directed,1002295,,2
15,113,Directed,1002306,,1
16,114,Directed,1002320,,1
16,2,Directed,1002321,,6
16,NA,Directed,1002322,,21
16,F,Directed,1002324,,5
16,FALSE,Directed,1002325,,46
16,TRUE,Directed,1002329,,14
16,5,Directed,1002331,,7
16,1,Directed,1002333,,14
16,115,Directed,1002334,,1
16,M,Directed,1002338,,5
16,116,Directed,1002348,,1
16,3,Directed,1002359,,4
16,4,Directed,1002361,,4
16,117,Directed,1002362,,1
16,118,Directed,1002376,,1
16,119,Directed,1002390,,1
16,120,Directed,1002404,,1
16,39,Directed,1002405,,2
16,121,Directed,1002418,,1
16,122,Directed,1002432,,1
16,35,Directed,1002433,,1
16,123,Directed,1002446,,1
16,40,Directed,1002447,,1
17,124,Directed,1002460,,1
17,3,Directed,1002461,,2
17,NA,Directed,1002462,,14
17,M,Directed,1002464,,3
17,TRUE,Directed,1002465,,14
17,FALSE,Directed,1002466,,22
17,1,Directed,1002471,,11
17,5,Directed,1002473,,7
17,125,Directed,1002474,,1
17,126,Directed,1002488,,1
17,41,Directed,1002489,,1
17,F,Directed,1002492,,3
17,127,Directed,1002502,,1
17,44,Directed,1002503,,1
17,128,Directed,1002516,,1
17,129,Directed,1002530,,1
18,130,Directed,1002544,,1
18,1,Directed,1002545,,17
18,NA,Directed,1002546,,32
18,M,Directed,1002548,,7
18,FALSE,Directed,1002549,,62
18,TRUE,Directed,1002554,,28
18,2,Directed,1002555,,10
18,3,Directed,1002557,,7
18,131,Directed,1002558,,1
18,F,Directed,1002562,,8
18,4,Directed,1002571,,10
18,132,Directed,1002572,,1
